id,itemTime,language,trial,antonymPair,scenarioLabel,expressionLabel,expression,answer,RT,engagement,difficulty,comments
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913728616,English,1,tall,NBA,neither Q nor not-P,neither short nor not short,3,12895,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913732262,English,2,tall,NBA,Q,short,1,3641,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913734686,English,3,tall,NBA,not-P ,not tall,3,2420,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913736831,English,4,tall,NBA,neither P nor Q,neither tall nor short,3,2140,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913740014,English,5,tall,NBA,neither P nor not-Q,neither tall nor not tall,3,3180,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913742383,English,6,tall,NBA,P,tall,7,2360,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913744582,English,7,tall,NBA,not-Q,not short,3,2193,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913761551,English,8,long,movie,P,long,10,16964,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913764784,English,9,long,movie,not-Q,not short,6,3227,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913766815,English,10,long,movie,neither Q nor not-P,neither short nor not short,6,2027,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913769526,English,11,long,movie,Q,short,4,2708,3,8,This one was hard to think about
A1WDUICI1FG9F:3LJ7UR74RILQNUIEU717QKJ0R5O4NR,1458913774414,English,12,long,movie,neither P nor not-Q,neither long nor not long,6,4885,3,8,This one was hard to think about
