id,itemTime,language,trial,antonymPair,scenarioLabel,expressionLabel,expression,predicateType,minValue,maxValue,startingValue,answer,naturalness,RT,engagement,difficulty,comments
A3LKPARORDKLWT:3RWE2M8QWII9O60DB6E5EHTNA0ON0O,1459374114032,english,1,fast,car,neither P nor not-P,neither fast nor not fast,stage,0,120,79,40,2,14209,5,2,
A3LKPARORDKLWT:3RWE2M8QWII9O60DB6E5EHTNA0ON0O,1459374124493,english,2,full,band,P and not-P,full and not full,stage,0,1200,1047,1200,1,10458,5,2,
A3LKPARORDKLWT:3RWE2M8QWII9O60DB6E5EHTNA0ON0O,1459374131762,english,3,long,movie,neither P nor Q,neither long nor short,individual,50,240,239,90,6,7269,5,2,
A3LKPARORDKLWT:3RWE2M8QWII9O60DB6E5EHTNA0ON0O,1459374142439,english,4,hot,bath,Q,cold,stage,32,212,98,57,5,10675,5,2,
A3LKPARORDKLWT:3RWE2M8QWII9O60DB6E5EHTNA0ON0O,1459374147335,english,5,tall,US male,neither Q nor not-Q,neither short nor not short,individual,48,96,83,71,3,4895,5,2,
A3LKPARORDKLWT:3RWE2M8QWII9O60DB6E5EHTNA0ON0O,1459374154882,english,6,expensive,laptop,not-Q,not cheap,individual,50,4000,1381,1131,6,7545,5,2,
A1K8QNLYYYX21W:37Z929RLGAG7KSP9H4J1XM5YU8JST3,1459273171951,English,1,long,movie,Q,short,individual,50,240,170,70,7,12472,4,0,"Good luck with your research.







"
A1K8QNLYYYX21W:37Z929RLGAG7KSP9H4J1XM5YU8JST3,1459273181582,English,2,expensive,laptop,not-P ,not expensive,individual,50,4000,3468,187,7,9628,4,0,"Good luck with your research.







"
A1K8QNLYYYX21W:37Z929RLGAG7KSP9H4J1XM5YU8JST3,1459273194526,English,3,full,band,P,full,stage,0,1200,328,1200,7,12941,4,0,"Good luck with your research.







"
A1K8QNLYYYX21W:37Z929RLGAG7KSP9H4J1XM5YU8JST3,1459273202624,English,4,fast,car,neither P nor Q,neither fast nor slow,stage,0,120,73,41,7,8096,4,0,"Good luck with your research.







"
A1K8QNLYYYX21W:37Z929RLGAG7KSP9H4J1XM5YU8JST3,1459273211012,English,5,tall,US male,Q and not-Q,short and not short,individual,48,96,94,65,6,8384,4,0,"Good luck with your research.







"
A1K8QNLYYYX21W:37Z929RLGAG7KSP9H4J1XM5YU8JST3,1459273217535,English,6,hot,bath,P and not-P,hot and not hot,stage,32,212,149,76,5,6520,4,0,"Good luck with your research.







"
A1CHC8M7CWC254:38SKSKU7R25U71E83JNW7TPURXVLI1,1459349251132,bulgarian,1,fast,car,neither P nor not-P,neither fast nor not fast,stage,0,120,102,60,6,11949,9,3,"It is probably relevant that: a) I am fluent in English despite it not being my native language, and b) I did notice that the slider was in a different place each time"
A1CHC8M7CWC254:38SKSKU7R25U71E83JNW7TPURXVLI1,1459349262279,bulgarian,2,long,movie,neither Q nor not-Q,neither short nor not short,individual,50,240,162,100,2,11145,9,3,"It is probably relevant that: a) I am fluent in English despite it not being my native language, and b) I did notice that the slider was in a different place each time"
